Cluster Index	Value	x	y	z	
1	17.2	62	66	162
1	17.2	117	195	123
1	17.2	59	175	58
1	17.2	85	98	112
1	17.2	36	149	123
1	17.2	155	187	186
1	17.2	131	33	9
1	17.2	75	169	31
1	17.2	14	55	45
1	17.2	76	171	36
1	17.2	112	161	88
1	17.2	25	96	72
1	17.2	33	25	106
1	17.2	73	179	127
1	17.2	87	62	30
1	17.2	183	104	90
1	17.2	76	46	65
1	17.2	67	155	113
1	17.2	36	157	20
1	17.2	130	62	41
1	17.2	9	71	128
1	17.2	51	87	57
1	17.2	4	84	60
1	17.2	49	73	64
1	17.2	115	85	163
1	17.2	112	5	34
1	17.2	83	67	33
1	17.2	100	80	170
1	17.2	73	116	167
1	17.2	139	62	171
1	17.2	123	138	105
1	17.2	57	104	66
1	17.2	51	38	76
1	17.2	171	53	84
1	17.2	54	124	145
1	17.2	107	191	71
1	17.2	57	152	61
1	17.2	112	136	187
1	17.2	59	6	165
1	17.2	169	173	168
1	17.1	109	147	137
1	17.1	184	69	46
1	17.1	21	8	192
1	17.1	91	102	189
1	17.1	97	79	33
1	17.1	49	189	69
1	17.1	97	11	5
1	17.1	14	148	99
1	17.1	166	32	54
1	17.1	108	182	125
1	17.1	165	160	129
1	17.1	113	177	68
1	17.1	154	16	78
1	17.1	106	37	71
1	17.1	169	37	107
1	17.1	144	141	107
1	17.1	86	92	26
1	17.1	165	111	84
1	17.1	105	172	170
1	17.1	56	14	99
1	17.1	145	20	110
1	17.1	109	168	142
1	17.1	104	84	71
1	17.1	126	91	97
1	17.1	99	42	171
1	17.1	100	36	155
1	17.1	36	134	151
1	17.1	65	172	84
1	17.1	189	141	131
1	17.1	147	115	133
1	17.1	52	113	107
1	17.1	37	26	17
1	17.1	8	94	99
1	17.1	131	49	158
1	17.1	63	182	6
1	17.1	135	123	95
1	17.1	36	193	182
1	17.1	110	162	184
1	17.1	176	47	97
1	17.1	57	141	7
1	17.1	99	9	103
1	17.1	155	189	40
1	17.1	193	99	61
1	17.1	95	10	7
1	17.1	28	16	39
1	17.1	102	163	99
1	17.1	124	92	171
1	17.1	102	19	184
1	17.1	12	93	133
1	17.1	68	74	20
1	17.1	187	108	188
1	17.1	188	170	167
1	17.1	78	185	161
1	17.1	4	47	125
1	17.1	133	39	90
